timestamp,open,high,low,close,Volume
1743076800000,137.4,139.83,135.63,137.79,713863.645
1743091200000,137.79,139.71,137.36,139.06,320958.722
1743105600000,139.07,139.95,138.12,138.43,223208.642
1743120000000,138.44,139.05,135.9,136.78,619076.01
1743134400000,136.79,137.35,131.38,131.62,1180653.184
1743148800000,131.63,132.67,130.36,131.93,563337.107
1743163200000,131.92,132.46,129.14,129.92,713947.358
1743177600000,129.92,130.3,129.03,129.43,417627.917
1743192000000,129.43,130.46,127.69,129.49,397549.789
1743206400000,129.5,130.54,126.58,128.84,426165.337
1743220800000,128.83,129.13,125.45,126.39,526673.224
1743235200000,126.39,127.1,124.31,125.3,545971.325
1743249600000,125.3,126.82,125.0,126.32,320786.433
1743264000000,126.32,126.79,123.71,125.3,494981.01
1743278400000,125.3,125.43,122.68,124.58,295488.186
1743292800000,124.58,126.6,123.49,125.71,331271.839
1743307200000,125.7,126.56,125.16,125.48,188600.491
1743321600000,125.48,126.43,124.66,125.12,254954.045
1743336000000,125.12,125.59,123.15,124.92,387216.248
1743350400000,124.92,127.08,123.0,125.85,290593.515
1743364800000,125.84,126.37,123.19,124.82,291139.158
1743379200000,124.83,127.63,122.75,124.56,456755.469
1743393600000,124.57,127.08,124.33,125.88,428772.482
1743408000000,125.89,126.7,123.05,124.28,534871.913
1743422400000,124.27,127.81,123.22,126.78,1303614.149
1743436800000,126.77,127.36,123.83,125.25,542225.867
1743451200000,125.25,126.27,124.47,124.54,464388.973
1743465600000,124.53,126.72,123.74,126.06,456527.231
1743480000000,126.07,126.78,125.59,126.69,289286.331
1743494400000,126.69,129.97,126.68,127.61,715628.001
1743508800000,127.6,130.55,124.68,129.27,1325487.084
1743523200000,129.27,129.64,125.52,126.82,491681.836
1743537600000,126.82,127.53,125.3,126.67,275667.365
1743552000000,126.68,126.96,124.1,124.32,360376.601
1743566400000,124.32,125.03,123.5,124.55,315887.887
1743580800000,124.54,126.73,124.28,125.69,343921.196
1743595200000,125.7,131.16,125.12,130.43,1459216.398
1743609600000,130.43,131.79,129.17,131.43,830662.196
1743624000000,131.42,136.21,117.0,117.42,2978844.402
1743638400000,117.42,120.94,116.25,119.8,1382064.844
1743652800000,119.81,120.86,117.9,118.64,839800.031
1743667200000,118.64,119.22,115.11,115.74,971616.952
1743681600000,115.74,116.04,112.24,114.16,1414822.953
1743696000000,114.17,116.0,113.26,115.42,882146.55
1743710400000,115.43,117.45,115.08,117.17,364415.948
1743724800000,117.17,117.5,114.63,115.4,496369.612
1743739200000,115.41,118.35,114.73,118.18,684370.718
1743753600000,118.17,119.94,113.25,114.54,1014820.91
1743768000000,114.53,120.99,113.96,118.6,1694857.327
1743782400000,118.6,123.98,118.23,122.61,1400599.221
1743796800000,122.61,124.0,121.78,122.79,430054.532
1743811200000,122.8,122.85,120.66,120.73,327845.359
1743825600000,120.72,121.32,120.18,121.07,215636.507
1743840000000,121.07,121.96,119.86,120.28,269080.287
1743854400000,120.29,120.33,117.15,117.55,467518.899
1743868800000,117.55,119.35,117.52,118.63,234342.093
1743883200000,118.63,120.56,118.41,120.32,269958.155
1743897600000,120.33,121.13,119.43,119.98,217230.754
1743912000000,119.99,120.6,118.82,119.21,213970.852
1743926400000,119.2,120.18,118.18,118.62,214065.208
1743940800000,118.61,118.86,114.3,114.97,755225.63
1743955200000,114.96,115.26,106.28,108.07,1992197.845
1743969600000,108.08,108.55,103.81,105.91,1541656.696
1743984000000,105.9,107.82,102.22,103.27,1464905.201
1743998400000,103.27,103.77,95.26,97.14,2680762.496
1744012800000,97.14,102.64,96.93,100.29,1763746.244
1744027200000,100.3,113.0,99.74,106.65,4896344.113
1744041600000,106.65,107.98,103.56,105.75,1254447.666
1744056000000,105.75,109.3,105.74,106.99,570459.273
1744070400000,106.98,112.58,106.65,111.31,902739.705
1744084800000,111.3,112.16,107.97,108.7,627406.872
1744099200000,108.69,111.82,107.15,111.56,649111.464
1744113600000,111.56,112.2,106.68,107.2,1520093.694
1744128000000,107.19,107.29,102.96,104.06,1419684.359
1744142400000,104.06,106.48,103.67,105.4,720093.688
1744156800000,105.4,106.6,101.26,103.15,1281631.768
1744171200000,103.14,107.85,103.04,107.37,1092739.892
1744185600000,107.37,108.26,102.75,103.43,1123041.729
1744200000000,103.42,107.43,102.31,106.54,1144877.072
1744214400000,106.54,121.0,106.22,118.95,3832842.415
1744228800000,118.95,120.5,118.07,119.05,859453.263
1744243200000,119.05,119.3,114.5,115.49,733019.523
1744257600000,115.5,116.99,114.05,114.78,1103888.042
1744272000000,114.79,115.24,113.39,113.95,556270.738
1744286400000,113.94,115.76,109.39,109.6,1731619.491
1744300800000,109.6,111.9,108.21,111.34,1048568.877
1744315200000,111.34,113.4,111.27,112.81,392957.958
1744329600000,112.8,115.78,112.16,115.41,520424.442
1744344000000,115.42,117.76,115.0,116.59,388685.254
1744358400000,116.6,119.4,115.87,118.02,945814.241
1744372800000,118.03,121.57,117.58,119.91,1354246.441
1744387200000,119.91,122.0,118.66,120.87,740557.094
1744401600000,120.87,122.65,119.99,121.41,394339.417
1744416000000,121.41,122.23,119.41,120.18,440133.08
1744430400000,120.18,124.57,119.82,124.26,836715.985
1744444800000,124.26,125.52,124.01,124.6,467294.75
1744459200000,124.6,131.77,124.39,130.47,1413322.317
1744473600000,130.47,131.55,128.2,130.71,749731.3
1744488000000,130.72,134.11,130.6,132.24,713068.423
1744502400000,132.24,133.96,130.87,131.81,626515.872
1744516800000,131.81,132.03,128.17,128.55,592221.793
1744531200000,128.55,131.61,128.2,129.82,601099.587
1744545600000,129.82,130.43,126.78,128.72,688010.234
1744560000000,128.71,132.56,127.05,128.21,762990.549
1744574400000,128.22,130.0,125.32,128.38,783532.568
1744588800000,128.38,136.13,127.98,131.73,969351.362
1744603200000,131.74,134.34,131.1,132.3,495931.913
1744617600000,132.31,134.17,131.5,133.5,542882.306
1744632000000,133.5,134.79,128.12,128.8,1180939.397
1744646400000,128.8,131.99,128.08,131.08,619493.674
1744660800000,131.09,131.19,128.65,129.42,341652.798
1744675200000,129.41,130.75,127.71,130.54,517850.864
1744689600000,130.54,132.3,129.68,131.55,396556.909
1744704000000,131.55,133.92,131.34,132.15,515048.186
1744718400000,132.14,134.45,129.07,129.61,930044.329
1744732800000,129.62,130.6,127.31,127.88,538794.561
1744747200000,127.89,128.59,125.82,126.11,533187.648
1744761600000,126.1,127.35,124.8,126.44,533551.256
1744776000000,126.45,126.68,124.37,124.78,414706.324
1744790400000,124.78,126.68,123.49,126.27,603391.926
1744804800000,126.26,129.6,124.46,128.39,1203324.57
1744819200000,128.4,133.91,124.86,132.45,1847730.44
1744833600000,132.45,133.71,130.78,131.33,718064.478
1744848000000,131.33,132.67,129.5,129.79,543337.549
1744862400000,129.79,135.59,129.62,134.26,769719.73
1744876800000,134.25,135.0,132.43,133.12,522574.074
1744891200000,133.12,134.5,130.55,133.45,851429.304
1744905600000,133.45,136.2,132.0,132.91,803140.577
1744920000000,132.91,135.29,132.91,134.83,327258.484
1744934400000,134.84,136.02,133.78,134.51,547917.484
1744948800000,134.52,135.03,133.26,134.91,402212.327
1744963200000,134.91,135.54,133.56,134.27,388279.807
1744977600000,134.27,135.21,132.47,132.91,832148.24
1744992000000,132.91,134.47,132.69,134.21,221737.273
1745006400000,134.21,134.4,133.23,134.04,164046.743
1745020800000,134.05,139.16,133.58,138.82,873032.032
1745035200000,138.82,139.47,137.78,138.76,378654.863
1745049600000,138.76,139.96,138.47,138.77,460949.872
1745064000000,138.77,140.5,138.51,138.95,407392.445
1745078400000,138.96,139.49,137.67,138.71,509276.06
1745092800000,138.7,139.9,138.34,139.87,186732.796
1745107200000,139.86,141.96,139.4,140.96,451629.395
1745121600000,140.96,141.62,138.6,139.61,419899.112
1745136000000,139.61,139.8,135.82,136.38,1401727.604
1745150400000,136.38,138.03,135.64,135.94,601538.546
1745164800000,135.94,137.25,135.72,137.2,287638.289
1745179200000,137.19,138.5,136.37,137.86,335665.669
1745193600000,137.86,143.25,137.66,139.39,1048611.685
1745208000000,139.39,141.85,139.22,140.17,515627.088
1745222400000,140.18,141.14,138.31,138.99,385571.883
1745236800000,138.98,140.11,136.76,138.33,914772.915
1745251200000,138.32,138.81,133.82,136.94,1439910.656
1745265600000,136.94,137.43,135.35,136.56,352906.276
1745280000000,136.57,139.87,134.68,139.35,613827.632
1745294400000,139.35,140.62,138.43,140.19,570257.469
1745308800000,140.19,140.77,138.96,140.45,391298.379
1745323200000,140.45,145.52,140.05,145.32,1380713.563
1745337600000,145.31,147.71,143.52,144.24,964839.29
1745352000000,144.24,150.23,143.46,148.79,1157473.203
1745366400000,148.78,149.47,147.13,149.24,621507.273
1745380800000,149.24,152.3,148.58,151.58,899298.892
1745395200000,151.58,153.74,151.0,152.09,888149.692
1745409600000,152.09,154.21,148.71,151.41,1499295.107
1745424000000,151.41,152.49,148.94,150.16,590127.94
1745438400000,150.16,151.82,149.83,151.1,302999.566
1745452800000,151.1,151.45,147.66,147.76,517099.25
1745467200000,147.76,149.17,146.95,147.17,426678.601
1745481600000,147.16,147.8,144.87,147.7,796094.133
1745496000000,147.7,151.46,147.07,149.34,790217.881
1745510400000,149.35,152.45,148.84,151.54,660109.668
1745524800000,151.54,152.9,150.0,152.55,345660.951
1745539200000,152.55,154.5,150.53,151.74,594679.235
1745553600000,151.73,155.0,150.73,154.86,500602.292
1745568000000,154.85,155.02,152.94,154.75,703703.672
1745582400000,154.75,157.0,152.2,152.94,1379529.65
1745596800000,152.94,153.24,150.43,151.4,639178.741
1745611200000,151.39,152.5,149.87,150.82,409074.383
1745625600000,150.82,153.17,150.82,151.36,328735.587
1745640000000,151.36,152.35,150.0,151.36,242846.799
1745654400000,151.36,152.33,148.0,148.51,480272.965
1745668800000,148.51,149.58,147.75,149.31,378129.548
1745683200000,149.32,149.46,148.33,149.25,168710.431
1745697600000,149.24,149.66,148.34,149.21,168110.55
1745712000000,149.22,150.41,146.07,147.55,452255.799
1745726400000,147.56,147.88,145.51,147.43,247164.955
1745740800000,147.43,148.77,147.35,147.95,172654.461
1745755200000,147.96,149.75,147.0,149.01,327987.42
1745769600000,149.02,150.25,148.2,150.03,194099.476
1745784000000,150.02,150.1,147.83,147.98,205815.78
1745798400000,147.97,149.6,144.63,148.39,624877.046
1745812800000,148.38,151.5,148.38,151.09,346144.631
1745827200000,151.09,153.4,148.97,151.7,991977.086
1745841600000,151.69,151.84,145.54,146.34,782658.061
1745856000000,146.33,148.88,145.38,148.43,487674.722
1745870400000,148.42,148.45,146.54,147.84,274618.899
1745884800000,147.84,149.21,146.92,147.47,418937.589
1745899200000,147.46,148.96,145.55,148.88,356386.869
1745913600000,148.88,149.5,147.61,149.0,379431.688
1745928000000,148.99,149.24,146.86,148.02,427607.843
1745942400000,148.01,150.39,147.7,149.29,424733.728
1745956800000,149.28,149.52,145.0,146.31,491894.775
1745971200000,146.3,148.67,145.06,148.17,425773.738
1745985600000,148.17,148.38,146.11,146.4,247386.191
1746000000000,146.39,148.0,146.04,147.94,175650.937
1746014400000,147.93,147.99,140.32,142.22,1056793.852
1746028800000,142.21,146.06,141.37,145.62,490311.415
1746043200000,145.62,148.12,145.36,147.54,384900.23
1746057600000,147.54,149.62,147.54,148.71,361054.475
1746072000000,148.71,150.25,147.99,149.8,333269.484
1746086400000,149.79,152.47,149.56,151.75,486460.951
1746100800000,151.75,153.99,150.62,151.8,867442.077
1746115200000,151.8,152.86,150.04,150.26,775061.065
1746129600000,150.26,150.96,149.87,150.85,213993.402
1746144000000,150.85,151.72,149.99,150.78,371032.51
1746158400000,150.78,151.05,148.37,148.52,412808.32
1746172800000,148.52,150.81,148.4,150.73,241501.893
1746187200000,150.72,151.91,149.28,149.88,557526.504
1746201600000,149.89,151.43,147.7,148.08,414267.28
1746216000000,148.09,148.65,147.3,148.05,219126.566
1746230400000,148.04,149.05,147.52,148.3,210266.37
1746244800000,148.3,148.58,147.38,148.08,176952.341
1746259200000,148.08,148.4,146.68,147.14,303702.758
1746273600000,147.14,149.0,147.13,148.46,307870.686
1746288000000,148.47,148.47,145.82,147.42,266722.962
1746302400000,147.42,147.91,146.63,146.71,141068.443
1746316800000,146.71,147.71,145.5,145.61,190012.87
1746331200000,145.61,146.54,145.17,145.62,235365.637
1746345600000,145.62,146.01,144.68,145.45,388439.088
1746360000000,145.46,147.27,144.94,146.84,241870.325
1746374400000,146.83,147.81,146.0,146.18,250358.408
1746388800000,146.18,147.14,143.5,143.95,307312.225
1746403200000,143.94,145.44,142.5,144.91,355187.502
1746417600000,144.91,147.36,144.89,146.88,276946.352
1746432000000,146.88,147.05,143.56,144.19,274401.447
1746446400000,144.18,145.42,143.16,143.76,388956.856
1746460800000,143.76,147.14,143.68,146.48,407143.464
1746475200000,146.48,147.73,144.95,146.72,328360.18
1746489600000,146.72,146.83,143.8,144.63,367296.356
1746504000000,144.63,145.88,144.32,145.28,204464.029
1746518400000,145.27,145.28,142.0,142.57,424425.083
1746532800000,142.57,143.96,141.41,143.18,462147.178
1746547200000,143.18,145.28,142.42,144.85,381449.415
1746561600000,144.85,147.23,143.52,146.88,512528.874
1746576000000,146.89,149.54,145.43,146.24,576871.733
1746590400000,146.23,147.32,145.43,147.27,197765.439
1746604800000,147.27,148.29,146.93,147.59,275188.956
1746619200000,147.6,147.74,145.43,145.75,380726.041
1746633600000,145.75,147.34,144.68,145.77,525191.445
1746648000000,145.77,148.35,145.48,147.32,484822.67
1746662400000,147.32,151.19,147.08,150.87,586318.16
1746676800000,150.88,151.97,149.97,151.57,786307.046
1746691200000,151.57,155.28,151.53,154.57,695506.267
1746705600000,154.57,163.18,154.18,160.24,1803513.916
1746720000000,160.23,161.07,158.52,160.53,1104587.546
1746734400000,160.54,164.6,159.75,164.46,1064389.683
1746748800000,164.46,164.46,161.34,161.37,644843.302
1746763200000,161.37,166.91,161.07,165.08,826538.8
1746777600000,165.08,176.15,164.3,172.32,2367640.729
1746792000000,172.33,173.44,167.36,170.75,1428271.654
1746806400000,170.76,172.58,168.59,171.89,672993.851
1746820800000,171.9,173.81,171.15,172.78,378286.313
1746835200000,172.77,175.19,170.66,171.59,449443.818
1746849600000,171.59,172.54,169.76,172.32,387316.261
1746864000000,172.32,173.4,168.72,169.0,671046.586
1746878400000,169.0,172.03,169.0,171.07,415046.499
1746892800000,171.07,173.83,170.86,172.22,523576.162
1746907200000,172.22,178.98,171.41,177.89,893271.853
1746921600000,177.89,180.26,172.92,175.86,1151356.383
1746936000000,175.86,177.7,172.29,172.6,476338.515
1746950400000,172.61,175.04,172.58,174.76,320930.122
1746964800000,174.76,175.22,169.35,170.48,582839.69
1746979200000,170.48,173.43,169.4,172.73,419532.052
1746993600000,172.72,173.85,171.26,173.19,259732.758
1747008000000,173.2,176.88,171.74,174.9,698943.076
1747022400000,174.9,179.79,173.63,176.09,1397760.785
1747036800000,176.08,177.01,173.64,174.11,791743.579
1747051200000,174.1,181.46,174.0,174.4,1841197.937
1747065600000,174.39,176.67,168.31,171.22,1132361.922
1747080000000,171.22,174.81,170.41,174.22,383725.678
1747094400000,174.22,174.38,166.94,166.97,725687.793
1747108800000,166.98,172.44,166.18,171.49,531456.72
1747123200000,171.49,175.15,170.93,174.0,444451.876
1747137600000,174.0,176.31,172.11,176.09,968525.19
1747152000000,176.08,184.45,175.72,182.05,1184464.876
1747166400000,182.05,184.83,180.35,183.75,732456.943
1747180800000,183.75,184.88,179.11,180.28,892108.183
1747195200000,180.28,183.99,179.86,181.72,537256.044
1747209600000,181.73,182.62,177.57,181.06,708105.908
1747224000000,181.06,181.89,175.6,177.35,766121.297
